Entity,Code,Year,mf_youth_and_adults__15_64_years__average_years_of_education,ny_gdp_pcap_pp_kd,population_historical,owid_region,time,time,time,time
Afghanistan,AFG,2020,5.69,1968.341,39068978,Asia,2020,2023,2020,2020
Albania,ALB,2020,10.32,13278.435,2871951,Europe,2020,2023,2020,2020
Algeria,DZA,2020,8.18,10844.7705,44042093,Africa,2020,2023,2020,2020
Argentina,ARG,2020,9.86,19694.56,45191960,South America,2020,2023,2020,2020
Armenia,ARM,2020,10.54,13357.697,2890894,Asia,2020,2023,2020,2020
Australia,AUS,2020,12.93,48651.734,25743787,Oceania,2020,2023,2020,2020
Austria,AUT,2020,10.39,51854.75,8921402,Europe,2020,2023,2020,2020
Bahrain,BHR,2020,8.21,47994.414,1483081,Asia,2020,2023,2020,2020
Bangladesh,BGD,2020,7.23,5591.3735,166298024,Asia,2020,2023,2020,2020
Barbados,BRB,2020,9.67,14003.922,281705,North America,2020,2023,2020,2020
Belgium,BEL,2020,11.57,49030.992,11540103,Europe,2020,2023,2020,2020
Belize,BLZ,2020,10.71,7586.0234,390819,North America,2020,2023,2020,2020
Benin,BEN,2020,6.27,3186.486,13070170,Africa,2020,2023,2020,2020
Bolivia,BOL,2020,9.06,7679.933,11816300,South America,2020,2023,2020,2020
Botswana,BWA,2020,10.58,13545.048,2365895,Africa,2020,2023,2020,2020
Brazil,BRA,2020,8,14109.764,208660845,South America,2020,2023,2020,2020
Brunei,BRN,2020,9.28,61603.55,447412,Asia,2020,2023,2020,2020
Bulgaria,BGR,2020,10.75,22466.918,6933654,Europe,2020,2023,2020,2020
Burundi,BDI,2020,5.05,711.3553,12617042,Africa,2020,2023,2020,2020
Cambodia,KHM,2020,5.81,4276.1846,16725482,Asia,2020,2023,2020,2020
Cameroon,CMR,2020,7.37,3665.5105,26210566,Africa,2020,2023,2020,2020
Canada,CAN,2020,12.93,46193.176,38171901,North America,2020,2023,2020,2020
Central African Republic,CAF,2020,4.64,847.765,5026629,Africa,2020,2023,2020,2020
Chile,CHL,2020,10.74,22970.55,19370619,South America,2020,2023,2020,2020
China,CHN,2020,8.99,16296.609,1426106083,Asia,2020,2023,2020,2020
Colombia,COL,2020,10.2,13358.298,50629997,South America,2020,2023,2020,2020
Congo,COG,2020,6.74,3748.9326,5752791,Africa,2020,2023,2020,2020
Costa Rica,CRI,2020,9.12,19778.387,5034323,North America,2020,2023,2020,2020
Cote d'Ivoire,CIV,2020,6.05,5092.1636,28915452,Africa,2020,2023,2020,2020
Croatia,HRV,2020,12.03,27002.2,3953957,Europe,2020,2023,2020,2020
Cyprus,CYP,2020,12.42,39871.87,1302250,Europe,2020,2023,2020,2020
Czechia,CZE,2020,12.93,38639.98,10550130,Europe,2020,2023,2020,2020
Democratic Republic of Congo,COD,2020,4.85,1044.0712,95989999,Africa,2020,2023,2020,2020
Denmark,DNK,2020,11.69,55275.062,5831530,Europe,2020,2023,2020,2020
Dominican Republic,DOM,2020,9.04,16768.426,11008297,North America,2020,2023,2020,2020
Ecuador,ECU,2020,9.07,10356.975,17546058,South America,2020,2023,2020,2020
Egypt,EGY,2020,8.01,11989.6,109315119,Africa,2020,2023,2020,2020
El Salvador,SLV,2020,8.1,8294.537,6234680,North America,2020,2023,2020,2020
Estonia,EST,2020,12.29,35883.266,1329674,Europe,2020,2023,2020,2020
Eswatini,SWZ,2020,6.46,8290.409,1192733,Africa,2020,2023,2020,2020
Fiji,FJI,2020,11.52,10961.847,914970,Oceania,2020,2023,2020,2020
Finland,FIN,2020,11.05,47371.22,5529617,Europe,2020,2023,2020,2020
France,FRA,2020,11.89,42344.945,65905273,Europe,2020,2023,2020,2020
Gabon,GAB,2020,10.18,13903.289,2322536,Africa,2020,2023,2020,2020
Gambia,GMB,2020,4.92,2042.6202,2515744,Africa,2020,2023,2020,2020
Germany,DEU,2020,13.1,51780.027,83628711,Europe,2020,2023,2020,2020
Ghana,GHA,2020,8.39,5263.5264,31887801,Africa,2020,2023,2020,2020
Greece,GRC,2020,11.86,27009.207,10699370,Europe,2020,2023,2020,2020
Guatemala,GTM,2020,6.26,8389.106,17357331,North America,2020,2023,2020,2020
Guyana,GUY,2020,8.52,18430.602,807487,South America,2020,2023,2020,2020
Haiti,HTI,2020,5.95,2970.463,11243847,North America,2020,2023,2020,2020
Honduras,HND,2020,7.51,5028.145,10119637,North America,2020,2023,2020,2020
Hong Kong,HKG,2020,12.83,55892.11,7490240,Asia,2020,2023,2020,2020
Hungary,HUN,2020,11.96,31232.102,9749460,Europe,2020,2023,2020,2020
Iceland,ISL,2020,13.53,51684.402,366626,Europe,2020,2023,2020,2020
India,IND,2020,7.8,6172.0425,1402617692,Asia,2020,2023,2020,2020
Indonesia,IDN,2020,9.06,11515.681,274814864,Asia,2020,2023,2020,2020
Iran,IRN,2020,9.8,14432.362,87723446,Asia,2020,2023,2020,2020
Iraq,IRQ,2020,8.27,8848.118,42116604,Asia,2020,2023,2020,2020
Ireland,IRL,2020,13.74,91791.44,4982604,Europe,2020,2023,2020,2020
Israel,ISR,2020,12.04,39680.664,8800379,Asia,2020,2023,2020,2020
Italy,ITA,2020,11.51,39093.523,59912763,Europe,2020,2023,2020,2020
Jamaica,JAM,2020,10.1,9206.292,2830746,North America,2020,2023,2020,2020
Japan,JPN,2020,12.83,40044.508,126304536,Asia,2020,2023,2020,2020
Jordan,JOR,2020,10.81,9231.036,10865231,Asia,2020,2023,2020,2020
Kazakhstan,KAZ,2020,11.79,25361.508,19482117,Asia,2020,2023,2020,2020
Kenya,KEN,2020,6.73,4497.363,52217327,Africa,2020,2023,2020,2020
Kuwait,KWT,2020,6.62,43922.63,4400146,Asia,2020,2023,2020,2020
Kyrgyzstan,KGZ,2020,11.18,4790.6587,6664142,Asia,2020,2023,2020,2020
Laos,LAO,2020,6.05,7763.9487,7346533,Asia,2020,2023,2020,2020
Latvia,LVA,2020,11.96,29575.568,1901119,Europe,2020,2023,2020,2020
Lesotho,LSO,2020,6.88,2225.253,2235727,Africa,2020,2023,2020,2020
Liberia,LBR,2020,5.8,1383.8281,5149471,Africa,2020,2023,2020,2020
Libya,LBY,2020,9.57,15621,7045404,Africa,2020,2023,2020,2020
Lithuania,LTU,2020,12.5,37179.766,2795766,Europe,2020,2023,2020,2020
Luxembourg,LUX,2020,11.53,112274.82,630597,Europe,2020,2023,2020,2020
Macao,MAC,2020,10.97,54916.156,683073,Asia,2020,2023,2020,2020
Malawi,MWI,2020,5.41,1489.6014,19533886,Africa,2020,2023,2020,2020
Malaysia,MYS,2020,11.96,25852.19,33889555,Asia,2020,2023,2020,2020
Maldives,MDV,2020,8.06,13809.354,502127,Asia,2020,2023,2020,2020
Mali,MLI,2020,3.55,2123.8281,21713839,Africa,2020,2023,2020,2020
Malta,MLT,2020,12.09,41753.812,518213,Europe,2020,2023,2020,2020
Mauritania,MRT,2020,5.55,5236.41,4600135,Africa,2020,2023,2020,2020
Mauritius,MUS,2020,10.4,20231.852,1283230,Africa,2020,2023,2020,2020
Mexico,MEX,2020,10.18,18639.662,126799052,North America,2020,2023,2020,2020
Moldova,MDA,2020,10.84,11848.899,3069135,Europe,2020,2023,2020,2020
Mongolia,MNG,2020,10,11666.779,3290788,Asia,2020,2023,2020,2020
Morocco,MAR,2020,6.83,7546.7163,36584208,Africa,2020,2023,2020,2020
Mozambique,MOZ,2020,4.22,1237.946,30783685,Africa,2020,2023,2020,2020
Myanmar,MMR,2020,6.48,4708.5596,53016525,Asia,2020,2023,2020,2020
Namibia,NAM,2020,6.88,9041.77,2728763,Africa,2020,2023,2020,2020
Nepal,NPL,2020,6.19,3761.8027,28966582,Asia,2020,2023,2020,2020
Netherlands,NLD,2020,11.82,54275.004,17636732,Europe,2020,2023,2020,2020
New Zealand,NZL,2020,10.81,42052.14,5069893,Oceania,2020,2023,2020,2020
Nicaragua,NIC,2020,7.76,5230.574,6565267,North America,2020,2023,2020,2020
Niger,NER,2020,3.04,1214.541,23717614,Africa,2020,2023,2020,2020
Norway,NOR,2020,12.08,63776.16,5379274,Europe,2020,2023,2020,2020
Pakistan,PAK,2020,6.41,5004.352,235001743,Asia,2020,2023,2020,2020
Panama,PAN,2020,10.44,26606.295,4293258,North America,2020,2023,2020,2020
Papua New Guinea,PNG,2020,4.84,3741.6616,9815741,Oceania,2020,2023,2020,2020
Paraguay,PRY,2020,8.83,13317.321,6603742,South America,2020,2023,2020,2020
Peru,PER,2020,9.96,11187.344,32838576,South America,2020,2023,2020,2020
Philippines,PHL,2020,9.44,7773.2603,112081271,Asia,2020,2023,2020,2020
Poland,POL,2020,12.01,32546.826,38171005,Europe,2020,2023,2020,2020
Portugal,PRT,2020,9.56,32011.324,10370519,Europe,2020,2023,2020,2020
Qatar,QAT,2020,8.52,89019.07,2803373,Asia,2020,2023,2020,2020
Romania,ROU,2020,11.28,29057.408,19392469,Europe,2020,2023,2020,2020
Russia,RUS,2020,11.6,26586.555,146371293,Europe,2020,2023,2020,2020
Rwanda,RWA,2020,5.24,2066.4717,13065839,Africa,2020,2023,2020,2020
Saudi Arabia,SAU,2020,9.86,44770.91,30991205,Asia,2020,2023,2020,2020
Senegal,SEN,2020,4.4,3384.442,16789215,Africa,2020,2023,2020,2020
Serbia,SRB,2020,11.72,18262.799,6907817,Europe,2020,2023,2020,2020
Sierra Leone,SLE,2020,4.99,1586.355,7912558,Africa,2020,2023,2020,2020
Singapore,SGP,2020,13.06,94910.1,5620150,Asia,2020,2023,2020,2020
Slovakia,SVK,2020,13.14,30960.959,5455028,Europe,2020,2023,2020,2020
Slovenia,SVN,2020,12.06,37155.023,2102419,Europe,2020,2023,2020,2020
South Africa,ZAF,2020,10.47,12866.569,60562374,Africa,2020,2023,2020,2020
South Korea,KOR,2020,13.68,42396.76,51858480,Asia,2020,2023,2020,2020
Spain,ESP,2020,11.51,36051.418,47679482,Europe,2020,2023,2020,2020
Sri Lanka,LKA,2020,10.33,12939.44,22561807,Asia,2020,2023,2020,2020
Sudan,SDN,2020,4.38,3874.8003,46789237,Africa,2020,2023,2020,2020
Sweden,SWE,2020,11.93,51331.28,10353680,Europe,2020,2023,2020,2020
Switzerland,CHE,2020,12.97,67928.195,8640582,Europe,2020,2023,2020,2020
Tajikistan,TJK,2020,10.12,3651.9426,9749310,Asia,2020,2023,2020,2020
Tanzania,TZA,2020,6.87,2552.5469,60972801,Africa,2020,2023,2020,2020
Thailand,THA,2020,9.32,16865.549,71641484,Asia,2020,2023,2020,2020
Togo,TGO,2020,7.68,2058.565,8669722,Africa,2020,2023,2020,2020
Tonga,TON,2020,11.42,6357.07,105719,Oceania,2020,2023,2020,2020
Trinidad and Tobago,TTO,2020,11.28,23392.992,1481026,North America,2020,2023,2020,2020
Tunisia,TUN,2020,9.29,10040.124,11974058,Africa,2020,2023,2020,2020
Turkey,TUR,2020,8.49,28726.191,86091691,Asia,2020,2023,2020,2020
Uganda,UGA,2020,6.69,2240.4902,44457149,Africa,2020,2023,2020,2020
Ukraine,UKR,2020,10.82,12407.79,44680009,Europe,2020,2023,2020,2020
United Arab Emirates,ARE,2020,9.57,67668.29,9448529,Asia,2020,2023,2020,2020
United Kingdom,GBR,2020,12.9,41895.824,67351860,Europe,2020,2023,2020,2020
United States,USA,2020,13.32,60158.91,339436157,North America,2020,2023,2020,2020
Uruguay,URY,2020,8.76,22073.375,3398967,South America,2020,2023,2020,2020
Vietnam,VNM,2020,8.35,10450.621,98079196,Asia,2020,2023,2020,2020
Zambia,ZMB,2020,8.37,3183.651,19059395,Africa,2020,2023,2020,2020
Zimbabwe,ZWE,2020,8.32,1990.3195,15526888,Africa,2020,2023,2020,2020